fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1572,car,0.91,179,1260,291,1626,554,matricula,0.57,1475,477,1565,497,U
1572,person,0.66,182,770,288,807,381,N/A,0.0,0,0,0,0,N/A
1572,person,0.84,127,434,275,487,423,N/A,0.0,0,0,0,0,N/A
1572,car,0.78,198,1120,308,1210,370,N/A,0.0,0,0,0,0,N/A
1572,car,0.62,208,1217,312,1278,361,N/A,0.0,0,0,0,0,N/A
1573,person,0.82,125,816,280,850,385,N/A,0.0,0,0,0,0,N/A
1573,car,0.94,179,1268,292,1652,563,matricula,0.59,1501,484,1587,507,T
1573,person,0.64,182,771,289,809,382,N/A,0.0,0,0,0,0,N/A
1573,person,0.82,127,430,276,484,423,N/A,0.0,0,0,0,0,N/A
1573,car,0.81,198,1121,307,1209,370,N/A,0.0,0,0,0,0,N/A
1573,car,0.61,208,1218,310,1279,362,N/A,0.0,0,0,0,0,N/A
1574,person,0.76,125,816,282,850,386,N/A,0.0,0,0,0,0,N/A
1574,car,0.92,179,1274,291,1681,571,matricula,0.22,1518,491,1613,510,N/A
1574,person,0.59,182,772,290,809,381,N/A,0.0,0,0,0,0,N/A
1574,person,0.82,127,427,275,483,427,N/A,0.0,0,0,0,0,N/A
1574,car,0.82,198,1121,308,1208,371,N/A,0.0,0,0,0,0,N/A
1574,car,0.57,208,1217,311,1281,362,N/A,0.0,0,0,0,0,N/A
1575,person,0.73,125,816,283,851,386,N/A,0.0,0,0,0,0,N/A
1575,car,0.89,179,1281,289,1709,578,matricula,0.78,1548,501,1640,522,N/A
1575,person,0.52,182,772,291,809,377,N/A,0.0,0,0,0,0,N/A
1575,person,0.66,127,423,273,481,427,N/A,0.0,0,0,0,0,N/A
1575,car,0.82,198,1121,309,1207,372,N/A,0.0,0,0,0,0,N/A
1575,car,0.53,208,1218,309,1282,363,N/A,0.0,0,0,0,0,N/A
1576,person,0.70,125,816,283,853,387,N/A,0.0,0,0,0,0,N/A
1576,car,0.91,179,1288,290,1744,587,matricula,0.66,1575,508,1674,534,N/A
1576,person,0.60,182,772,294,809,377,N/A,0.0,0,0,0,0,N/A
1576,person,0.79,127,421,274,479,424,N/A,0.0,0,0,0,0,N/A
1576,car,0.81,198,1121,309,1207,372,N/A,0.0,0,0,0,0,N/A
1576,car,0.54,208,1220,309,1285,363,N/A,0.0,0,0,0,0,N/A
1577,person,0.72,125,817,283,855,388,N/A,0.0,0,0,0,0,N/A
1577,car,0.92,179,1298,289,1779,599,matricula,0.50,1612,521,1708,545,N/A
1577,person,0.71,182,773,293,809,376,N/A,0.0,0,0,0,0,N/A
1577,person,0.69,127,416,275,476,426,N/A,0.0,0,0,0,0,N/A
1577,car,0.83,198,1121,310,1208,373,N/A,0.0,0,0,0,0,N/A
1577,car,0.57,208,1221,308,1285,364,N/A,0.0,0,0,0,0,N/A
1578,person,0.76,125,818,281,856,388,N/A,0.0,0,0,0,0,N/A
1578,car,0.92,179,1309,288,1818,610,matricula,0.73,1647,531,1747,555,N/A
1578,person,0.73,182,775,290,809,377,N/A,0.0,0,0,0,0,N/A
1578,person,0.75,127,412,271,476,429,N/A,0.0,0,0,0,0,N/A
1578,car,0.82,198,1122,310,1208,374,N/A,0.0,0,0,0,0,N/A
1578,car,0.58,208,1221,308,1286,365,N/A,0.0,0,0,0,0,N/A
1578,car,0.50,209,1294,323,1344,358,N/A,0.0,0,0,0,0,N/A
1579,person,0.73,125,819,279,857,386,N/A,0.0,0,0,0,0,N/A
1579,car,0.93,179,1319,289,1862,622,matricula,0.50,1682,545,1793,569,N/A
1579,person,0.72,182,775,291,810,378,N/A,0.0,0,0,0,0,N/A
1579,person,0.83,127,409,270,474,430,N/A,0.0,0,0,0,0,N/A
1579,car,0.80,198,1121,310,1208,375,N/A,0.0,0,0,0,0,N/A
1579,car,0.61,208,1221,311,1286,365,N/A,0.0,0,0,0,0,N/A
1579,car,0.50,209,1296,323,1350,358,N/A,0.0,0,0,0,0,N/A
1580,person,0.61,125,821,279,858,385,N/A,0.0,0,0,0,0,N/A
1580,car,0.93,179,1331,289,1906,633,matricula,0.53,1729,557,1840,582,N/A
1580,person,0.67,182,777,292,811,377,N/A,0.0,0,0,0,0,N/A
1580,person,0.80,127,407,270,472,430,N/A,0.0,0,0,0,0,N/A
1580,car,0.79,198,1122,311,1208,376,N/A,0.0,0,0,0,0,N/A
1580,car,0.63,208,1222,313,1288,367,N/A,0.0,0,0,0,0,N/A
1580,car,0.50,209,1295,324,1354,360,N/A,0.0,0,0,0,0,N/A
1581,person,0.63,125,822,279,858,384,N/A,0.0,0,0,0,0,N/A
1581,car,0.92,179,1343,289,1920,650,matricula,0.27,1776,570,1894,595,N/A
1581,person,0.61,182,779,292,812,378,N/A,0.0,0,0,0,0,N/A
1581,person,0.71,127,405,269,469,429,N/A,0.0,0,0,0,0,N/A
1581,car,0.79,198,1121,311,1208,377,N/A,0.0,0,0,0,0,N/A
1581,car,0.62,208,1222,311,1290,368,N/A,0.0,0,0,0,0,N/A
1582,person,0.58,125,823,279,859,381,N/A,0.0,0,0,0,0,N/A
1582,car,0.92,179,1359,288,1920,668,matricula,0.48,1832,586,1916,612,N/A
1582,person,0.41,182,780,294,812,378,N/A,0.0,0,0,0,0,N/A
1582,person,0.69,127,400,267,464,429,N/A,0.0,0,0,0,0,N/A
1582,car,0.80,198,1121,311,1207,377,N/A,0.0,0,0,0,0,N/A
1582,car,0.63,208,1222,310,1290,368,N/A,0.0,0,0,0,0,N/A
1582,car,0.41,209,1294,324,1350,359,N/A,0.0,0,0,0,0,N/A
1583,person,0.57,125,825,280,860,382,N/A,0.0,0,0,0,0,N/A
1583,car,0.93,179,1373,288,1920,687,N/A,0.0,0,0,0,0,N/A
1583,person,0.45,182,782,295,816,379,N/A,0.0,0,0,0,0,N/A
1583,person,0.41,127,399,266,457,429,N/A,0.0,0,0,0,0,N/A
1583,car,0.83,198,1120,310,1207,377,N/A,0.0,0,0,0,0,N/A
1583,car,0.68,208,1221,310,1291,369,N/A,0.0,0,0,0,0,N/A
1583,car,0.48,210,1350,326,1400,358,N/A,0.0,0,0,0,0,N/A
1583,car,0.47,209,1296,325,1348,358,N/A,0.0,0,0,0,0,N/A
1584,person,0.61,125,825,279,860,382,N/A,0.0,0,0,0,0,N/A
1584,car,0.94,179,1390,288,1920,705,N/A,0.0,0,0,0,0,N/A
1584,person,0.53,182,784,294,818,381,N/A,0.0,0,0,0,0,N/A
1584,person,0.82,127,395,265,452,429,N/A,0.0,0,0,0,0,N/A
1584,car,0.82,198,1119,310,1207,378,N/A,0.0,0,0,0,0,N/A
1584,car,0.66,208,1222,310,1293,369,N/A,0.0,0,0,0,0,N/A
1584,car,0.42,210,1359,327,1401,359,N/A,0.0,0,0,0,0,N/A
1584,car,0.48,209,1297,325,1348,358,N/A,0.0,0,0,0,0,N/A
1585,person,0.62,125,826,276,861,382,N/A,0.0,0,0,0,0,N/A
1585,car,0.94,179,1408,288,1920,724,N/A,0.0,0,0,0,0,N/A
1585,person,0.50,182,786,293,820,381,N/A,0.0,0,0,0,0,N/A
1585,person,0.84,127,391,264,448,430,N/A,0.0,0,0,0,0,N/A
1585,car,0.83,198,1117,309,1207,379,N/A,0.0,0,0,0,0,N/A
1585,car,0.68,208,1222,309,1295,369,N/A,0.0,0,0,0,0,N/A
1585,car,0.44,209,1297,326,1347,358,N/A,0.0,0,0,0,0,N/A
1585,car,0.53,212,1384,327,1439,365,N/A,0.0,0,0,0,0,N/A
1586,person,0.63,125,827,280,862,383,N/A,0.0,0,0,0,0,N/A
1586,car,0.94,179,1429,286,1920,743,N/A,0.0,0,0,0,0,N/A
1586,person,0.59,182,788,292,822,381,N/A,0.0,0,0,0,0,N/A
1586,person,0.87,127,384,264,447,430,N/A,0.0,0,0,0,0,N/A
1586,car,0.85,198,1116,309,1207,381,N/A,0.0,0,0,0,0,N/A
1586,car,0.70,208,1222,309,1296,369,N/A,0.0,0,0,0,0,N/A
1586,car,0.40,209,1298,327,1347,358,N/A,0.0,0,0,0,0,N/A
1586,car,0.44,212,1383,325,1433,364,N/A,0.0,0,0,0,0,N/A
1586,car,0.53,187,1426,320,1490,388,N/A,0.0,0,0,0,0,N/A
1586,car,0.43,210,1359,328,1398,359,N/A,0.0,0,0,0,0,N/A
1587,person,0.66,125,828,283,862,382,N/A,0.0,0,0,0,0,N/A
1587,car,0.94,179,1449,285,1920,769,N/A,0.0,0,0,0,0,N/A
1587,person,0.66,182,789,291,821,381,N/A,0.0,0,0,0,0,N/A
1587,person,0.83,127,379,264,445,432,N/A,0.0,0,0,0,0,N/A
1587,car,0.84,198,1114,308,1205,381,N/A,0.0,0,0,0,0,N/A
1587,car,0.73,208,1222,309,1298,369,N/A,0.0,0,0,0,0,N/A
1587,car,0.41,209,1298,327,1346,358,N/A,0.0,0,0,0,0,N/A
1587,car,0.42,212,1383,325,1430,363,N/A,0.0,0,0,0,0,N/A
1587,car,0.58,187,1428,320,1502,393,N/A,0.0,0,0,0,0,N/A
1587,car,0.45,210,1357,328,1399,359,N/A,0.0,0,0,0,0,N/A
1588,person,0.69,125,829,280,863,381,N/A,0.0,0,0,0,0,N/A
1588,car,0.94,179,1473,285,1920,791,N/A,0.0,0,0,0,0,N/A
1588,person,0.66,182,790,290,822,380,N/A,0.0,0,0,0,0,N/A
1588,person,0.84,127,371,264,444,432,N/A,0.0,0,0,0,0,N/A
1588,car,0.83,198,1113,308,1204,381,N/A,0.0,0,0,0,0,N/A
