fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
122,persona,0.27316406,1,267,229,303,322,0,,,,,,
122,persona,0.68005544,9,378,239,403,309,0,,,,,,
122,persona,0.57100976,2,404,242,427,311,0,,,,,,
123,persona,0.24880596,1,267,230,308,322,0,,,,,,
123,persona,0.63841087,9,377,239,403,310,0,,,,,,
123,persona,0.54617286,2,404,241,427,313,0,,,,,,
124,persona,0.24812452,1,267,230,308,321,0,,,,,,
124,persona,0.60787797,9,377,239,403,310,0,,,,,,
124,persona,0.524547,2,404,240,427,314,0,,,,,,
125,persona,0.22435917,1,267,230,314,321,0,,,,,,
125,persona,0.60080725,9,378,239,403,310,0,,,,,,
125,persona,0.5627134,2,405,240,428,317,0,,,,,,
126,persona,0.23320441,1,267,230,313,321,0,,,,,,
126,persona,0.644999,9,377,239,403,310,0,,,,,,
126,persona,0.5856817,2,405,241,428,318,0,,,,,,
127,persona,0.26160124,1,267,230,310,321,0,,,,,,
127,persona,0.6645678,9,377,238,404,311,0,,,,,,
127,persona,0.63629204,2,405,242,429,320,0,,,,,,
128,persona,0.2885409,1,267,230,309,321,0,,,,,,
128,persona,0.63471663,9,377,238,404,311,0,,,,,,
128,persona,0.6118988,2,406,242,430,319,0,,,,,,
129,persona,0.28445104,1,267,230,307,321,0,,,,,,
129,persona,0.641125,9,378,237,404,312,0,,,,,,
129,persona,0.71852833,2,406,241,431,318,0,,,,,,
130,persona,0.2935056,1,267,229,303,321,0,,,,,,
130,persona,0.7119809,9,377,238,404,312,0,,,,,,
130,persona,0.71371937,2,405,240,431,319,0,,,,,,
131,persona,0.28662395,1,267,230,306,321,0,,,,,,
131,persona,0.6701962,9,378,238,404,312,0,,,,,,
131,persona,0.6853439,2,405,240,432,318,0,,,,,,
132,persona,0.29539102,1,267,230,305,320,0,,,,,,
132,persona,0.6822312,9,378,237,404,313,0,,,,,,
132,persona,0.7036797,2,406,240,434,320,0,,,,,,
132,persona,0.32058558,14,267,230,326,323,0,,,,,,
133,persona,0.26566094,1,267,230,303,319,0,,,,,,
133,persona,0.6694199,9,377,237,404,313,0,,,,,,
133,persona,0.70850146,2,406,240,434,321,0,,,,,,
133,persona,0.3002487,14,267,231,325,321,0,,,,,,
134,persona,0.2568415,1,267,230,301,318,0,,,,,,
134,persona,0.68262964,9,377,237,405,313,0,,,,,,
134,persona,0.62220985,2,406,242,433,320,0,,,,,,
134,persona,0.29013166,14,266,231,325,322,0,,,,,,
135,persona,0.25165907,1,266,230,299,316,0,,,,,,
135,persona,0.66328615,9,377,237,405,313,0,,,,,,
135,persona,0.57230717,2,407,244,432,320,0,,,,,,
135,persona,0.28221655,14,266,231,324,320,0,,,,,,
136,persona,0.24207143,1,266,230,296,310,0,,,,,,
136,persona,0.64288914,9,377,238,405,313,0,,,,,,
136,persona,0.55839497,2,408,247,433,321,0,,,,,,
136,persona,0.224901,14,266,231,315,321,0,,,,,,
137,persona,0.25962713,1,266,230,297,315,0,,,,,,
137,persona,0.65612215,9,377,238,405,314,0,,,,,,
137,persona,0.6374876,2,409,245,434,321,0,,,,,,
137,persona,0.3056403,14,265,231,323,322,0,,,,,,
138,persona,0.2657222,1,266,230,299,318,0,,,,,,
138,persona,0.6563286,9,377,238,405,314,0,,,,,,
138,persona,0.6293832,2,409,242,434,322,0,,,,,,
138,persona,0.33602205,14,265,231,324,323,0,,,,,,
139,persona,0.29060626,1,266,230,302,319,0,,,,,,
139,persona,0.6838628,9,377,237,405,314,0,,,,,,
139,persona,0.65530306,2,408,241,434,322,0,,,,,,
139,persona,0.40187868,14,265,232,325,323,0,,,,,,
140,persona,0.31185892,1,266,230,304,320,0,,,,,,
140,persona,0.7147167,9,377,238,405,315,0,,,,,,
140,persona,0.6731705,2,409,241,435,323,0,,,,,,
140,persona,0.39602733,14,266,232,326,323,0,,,,,,
141,persona,0.23541583,1,267,230,301,318,0,,,,,,
141,persona,0.6968558,9,377,238,405,315,0,,,,,,
141,persona,0.64414525,2,409,241,435,323,0,,,,,,
141,persona,0.27272633,14,266,232,323,321,0,,,,,,
142,persona,0.22147882,1,267,230,298,315,0,,,,,,
142,persona,0.69319683,9,377,238,406,316,0,,,,,,
142,persona,0.6437314,2,410,243,436,324,0,,,,,,
142,persona,0.24436022,14,266,231,320,321,0,,,,,,
143,persona,0.18335703,1,267,230,297,311,0,,,,,,
143,persona,0.7011193,9,377,238,406,317,0,,,,,,
143,persona,0.70664036,2,409,244,437,326,0,,,,,,
143,persona,0.19997847,14,266,231,316,321,0,,,,,,
144,persona,0.6693037,9,378,238,406,316,0,,,,,,
144,persona,0.67928386,2,409,245,438,327,0,,,,,,
144,persona,0.1516177,14,267,231,315,321,0,,,,,,
145,persona,0.74549264,9,378,238,407,317,0,,,,,,
145,persona,0.73955864,2,410,243,439,327,0,,,,,,
145,persona,0.28833288,14,267,229,307,321,0,,,,,,
146,persona,0.7451206,9,378,238,407,318,0,,,,,,
146,persona,0.7473689,2,411,242,440,326,0,,,,,,
146,persona,0.2542581,14,267,228,301,322,0,,,,,,
147,persona,0.73612416,9,378,238,407,319,0,,,,,,
147,persona,0.72220296,2,412,241,440,326,0,,,,,,
147,persona,0.26370803,14,268,228,298,322,0,,,,,,
148,persona,0.7552075,9,378,238,408,321,0,,,,,,
148,persona,0.6965172,2,412,240,440,327,0,,,,,,
148,persona,0.24299654,14,268,229,297,322,0,,,,,,
149,persona,0.7594109,9,378,238,410,322,0,,,,,,
149,persona,0.71963465,2,413,240,441,328,0,,,,,,
149,persona,0.2591381,14,268,229,296,322,0,,,,,,
150,persona,0.72771275,9,378,238,411,322,0,,,,,,
150,persona,0.70861876,2,414,239,443,330,0,,,,,,
150,persona,0.23675531,14,268,229,297,322,0,,,,,,
151,persona,0.7812707,9,379,238,412,322,0,,,,,,
151,persona,0.7139243,2,414,242,444,330,0,,,,,,
151,persona,0.22267677,14,268,230,299,322,0,,,,,,
152,persona,0.7800659,9,380,238,412,322,0,,,,,,
152,persona,0.73410386,2,415,243,444,329,0,,,,,,
152,persona,0.23540124,14,268,230,298,322,0,,,,,,
153,persona,0.7529703,9,380,237,412,321,0,,,,,,
153,persona,0.73497033,2,415,244,444,329,0,,,,,,
153,persona,0.2570621,14,269,231,298,322,0,,,,,,
154,persona,0.7157088,9,380,237,412,321,0,,,,,,
154,persona,0.6889088,2,415,243,445,329,0,,,,,,
154,persona,0.27360812,14,269,231,298,322,0,,,,,,
155,persona,0.72929364,9,381,237,413,321,0,,,,,,
155,persona,0.7187585,2,415,241,446,331,0,,,,,,
155,persona,0.26933825,14,269,230,298,321,0,,,,,,
156,persona,0.76197934,9,381,237,413,323,0,,,,,,
156,persona,0.69585395,2,415,240,447,331,0,,,,,,
156,persona,0.25949094,14,269,231,298,321,0,,,,,,
157,persona,0.76673174,9,380,237,413,324,0,,,,,,
157,persona,0.6899714,2,416,239,448,331,0,,,,,,
157,persona,0.26469517,14,269,231,299,321,0,,,,,,
158,persona,0.77326435,9,380,237,413,324,0,,,,,,
158,persona,0.6660681,2,417,239,449,331,0,,,,,,
158,persona,0.22177169,14,269,231,300,322,0,,,,,,
